referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE04OSPD-DP01B-02-VEL3DA105,2016,3,44.36843,-124.95304,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2017,4,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2017,5,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2018,6,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2019,7,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2019,8,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2020,9,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2014,1,44.36831,-124.95276,N/A,582
CE04OSPD-DP01B-03-FLCDRA103,2015,2,44.36853,-124.95267,N/A,582
CE04OSPD-DP01B-03-FLCDRA103,2016,3,44.36843,-124.95304,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2017,4,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2017,5,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2018,6,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2019,7,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2019,8,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-03-FLCDRA103,2020,9,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2014,1,44.36831,-124.95276,N/A,582
CE04OSPD-DP01B-04-FLNTUA103,2015,2,44.36853,-124.95267,N/A,582
CE04OSPD-DP01B-04-FLNTUA103,2016,3,44.36843,-124.95304,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2017,4,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2017,5,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2018,6,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2019,7,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2019,8,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-04-FLNTUA103,2020,9,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2014,1,44.36831,-124.95276,N/A,582
CE04OSPD-DP01B-06-DOSTAD105,2015,2,44.36853,-124.95267,N/A,582
CE04OSPD-DP01B-06-DOSTAD105,2016,3,44.36843,-124.95304,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2017,4,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2017,5,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2018,6,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2019,7,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2019,8,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-06-DOSTAD105,2020,9,44.36819,-124.95282,N/A,583
CE04OSPS-PC01B-05-ZPLSCB102,2014,1,44.37416,-124.95648,190,580
CE04OSPS-PC01B-05-ZPLSCB102,2015,2,44.37416,-124.95648,190,580
CE04OSPS-PC01B-05-ZPLSCB102,2016,3,44.37416,-124.95648,190,580
CE04OSPS-PC01B-05-ZPLSCB102,2017,4,44.37416,-124.95648,190,580
CE04OSPS-PC01B-05-ZPLSCB102,2018,5,44.37421,-124.95648,197,580
CE04OSPS-PC01B-05-ZPLSCB102,2019,6,44.37421,-124.95648,197,580
