CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN382,,,,CE04OSPS-SC01B,7,1,2020-08-02T19:43:56,2020-08-22T00:11:00,ATAPL-67762-10001,ATAPL-69140-00121,,44.374224,-124.956401,,199,574,,,
TN393,,,,CE04OSPS-SC01B,8,1,2021-08-24T17:11:39,2022-08-10T16:21:00,ATAPL-67762-10001,ATAPL-68870-00124,,44.374224,-124.956401,,199,574,,,
TN407,,,,CE04OSPS-SC01B,9,1,2022-08-11T22:00:00,2022-09-03T18:05:00,ATAPL-67762-10001,ATAPL-68870-00121,,44.374224,-124.956401,,199,574,,,
TN313,,,,CE04OSPS-SF01B,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,,44.374163,-124.956480,,N/A,574,,,
TN326,,,,CE04OSPS-SF01B,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-68870-00144,,44.374163,-124.956480,,N/A,574,,,
SKQ201610S,,,,CE04OSPS-SF01B,3,1,2016-07-19T08:00:00,2017-07-28T00:00:00,ATAPL-67762-10001,ATAPL-68870-00141,,44.374163,-124.956480,,N/A,574,,,
RR1713,,,,CE04OSPS-SF01B,4,1,2017-07-29T05:00:00,2018-07-17T15:00:00,ATAPL-67762-10001,ATAPL-68870-00144,,44.374163,-124.95648,,N/A,574,,,
RR1811,,,,CE04OSPS-SF01B,5,1,2018-07-17T15:00:00,2019-06-13T21:54:00,ATAPL-67762-10001,ATAPL-68870-00144,,44.374224,-124.956401,,N/A,574,,,
AT42-12,,,,CE04OSPS-SF01B,6,1,2019-06-14T16:42:00,2020-08-01T22:29:00,ATAPL-67762-10001,ATAPL-68870-00144,,44.374224,-124.956401,,N/A,574,,,
TN382,,,,CE04OSPS-SF01B,7,1,2020-08-02T19:43:56,2020-08-22T00:11:00,ATAPL-67762-10001,ATAPL-68870-00141,,44.374224,-124.956401,,N/A,574,,,
TN393,,,,CE04OSPS-SF01B,8,1,2021-08-24T17:11:39,2022-08-10T16:21:00,ATAPL-67762-10001,ATAPL-68870-00144,,44.374224,-124.956401,,N/A,574,,,
TN407,,,,CE04OSPS-SF01B,9,1,2022-08-11T22:00:00,2022-09-03T18:05:00,ATAPL-67762-10001,ATAPL-68870-00141,,44.374224,-124.956401,,N/A,574,,,
TN407,,,,CE04OSPS-SF01B,10,1,2022-09-06T19:00:00,,ATAPL-67762-10001,ATAPL-68870-00143,,44.374224,-124.956401,,N/A,574,,,
TN313,,,,RS01SBPD-DP01A,1,1,2014-08-23T05:55:00,2014-09-22T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,,44.527467,-125.380673,,N/A,2901,,,
TN326,,,,RS01SBPD-DP01A,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-69543-00001,ATAPL-71403-00002,,44.527636,-125.380868,,N/A,2903,,,
SKQ201610S,,,,RS01SBPD-DP01A,3,1,2016-08-09T03:16:00,2018-07-25T00:00:00,ATAPL-69543-00001,ATAPL-71403-00003,,44.527496,-125.380629,,N/A,2898,,,
RR1812,,,,RS01SBPD-DP01A,4,1,2018-07-25T00:00:00,2019-07-02T07:46:00,ATAPL-69543-00001,ATAPL-71403-00007,,44.527458,-125.380328,,N/A,2899,,,
AT42-12,,,,RS01SBPD-DP01A,5,1,2019-07-02T20:30:00,2020-03-31T00:00:00,ATAPL-69543-00001,ATAPL-71403-00006,,44.527458,-125.380328,,N/A,2899,,,
TN382,,,,RS01SBPD-DP01A,6,1,2020-08-12T18:00:00,2021-08-04T20:20:00,ATAPL-69543-00001,ATAPL-71403-00003,,44.527458,-125.380328,,N/A,2899,,,
TN393,,,,RS01SBPD-DP01A,7,1,2021-08-23T22:54:08,2022-08-27T00:49:45,ATAPL-69543-00001,ATAPL-71403-00002,,44.527052,-125.380200,,N/A,2900,,,
TN407,,,,RS01SBPD-DP01A,8,1,2022-08-29T00:00:00,,ATAPL-69543-00001,ATAPL-71403-00003,,44.527052,-125.380200,,N/A,2900,,,
TN313,,,,RS01SBPD-PD01A,1,1,2014-08-23T05:55:00,2014-09-22T00:00:00,ATAPL-69543-00001,ATAPL-71533-00002,,44.527467,-125.380673,,2894,2901,,,
TN326,,,,RS01SBPD-PD01A,2,1,2015-07-22T22:17:00,2016-08-09T00:00:00,ATAPL-69543-00001,ATAPL-71533-00002,,44.527636,-125.380868,,2896,2903,,,
SKQ201610S,,,,RS01SBPD-PD01A,3,1,2016-08-09T03:16:00,2018-07-25T00:00:00,ATAPL-69543-00001,ATAPL-71533-00004,,44.527496,-125.380629,,2891,2898,,,
RR1812,,,,RS01SBPD-PD01A,4,1,2018-07-25T00:00:00,2021-08-21T14:29:46,ATAPL-69543-00001,ATAPL-71533-00005,,44.527458,-125.380328,,2892,2899,,,
TN393,,,,RS01SBPD-PD01A,5,1,2021-08-22T23:40:44,,ATAPL-69543-00001,ATAPL-71533-00005,,44.527052,-125.380200,,2893,2900,,,
TN313,,,,RS01SBPS-LV01A,1,1,2014-08-03T17:32:43,2021-08-12T00:58:51,RS01SBPS-LV01A-0000,ATAPL-65291-00043,,44.515178,-125.389901,,2902,2902,,,
TN393,,,,RS01SBPS-LV01A,2,1,2021-08-12T02:01:21,,RS01SBPS-LV01A-0000,ATAPL-65291-00045,,44.515161,-125.389899,,2903,2903,,,
TN313,,,,RS01SBPS-PC01A,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-67762-20001,ATAPL-69839-00101,,44.528879,-125.389741,,195,2904,,,
TN326,,,,RS01SBPS-PC01A,2,1,2015-07-07T16:12:00,2016-07-17T00:00:00,ATAPL-67762-20001,ATAPL-69839-00104,,44.528879,-125.389741,,195,2904,,,
SKQ201610S,,,,RS01SBPS-PC01A,3,1,2016-07-18T00:19:00,2017-07-28T03:00:00,ATAPL-67762-20001,ATAPL-69839-00101,,44.528879,-125.389741,,195,2904,,,
RR1713,,,,RS01SBPS-PC01A,4,1,2017-08-04T19:30:00,2018-06-24T02:00:00,ATAPL-67762-20001,ATAPL-69839-00104,,44.528879,-125.389741,,195,2904,,,
RR1809,,,,RS01SBPS-PC01A,5,1,2018-06-24T02:00:00,2019-06-14T05:26:00,ATAPL-67762-20001,ATAPL-69839-00106,,44.528879,-125.389741,,195,2904,,,
AT42-12,,,,RS01SBPS-PC01A,6,1,2019-06-14T22:48:00,2020-08-02T19:41:01,ATAPL-67762-20001,ATAPL-69839-00104,,44.528879,-125.389741,,195,2904,,,
TN382,,,,RS01SBPS-PC01A,7,1,2020-08-03T15:17:57,2021-08-04T20:20:00,ATAPL-67762-20001,ATAPL-69839-00101,,44.528879,-125.389741,,195,2904,,,
TN393,,,,RS01SBPS-PC01A,8,1,2021-08-24T16:56:08,2022-09-02T20:45:00,ATAPL-67762-20001,ATAPL-69839-00104,,44.528879,-125.389741,,195,2904,,,
